date	dateNorm	deaths	cumDeaths	totalTweets	nonRTs	rTs	pos	neg	neu
1323813600	14/12/2011	37	5327	0	0	0	0	0	0
1323900000	15/12/2011	12	5339	0	0	0	0	0	0
1323986400	16/12/2011	19	5358	0	0	0	0	0	0
1324072800	17/12/2011	35	5393	0	0	0	0	0	0
1324159200	18/12/2011	27	5420	0	0	0	0	0	0
1324245600	19/12/2011	119	5539	0	0	0	0	0	0
1324332000	20/12/2011	144	5683	0	0	0	0	0	0
1324418400	21/12/2011	38	5721	0	0	0	0	0	0
1324504800	22/12/2011	46	5767	0	0	0	0	0	0
1324591200	23/12/2011	33	5800	0	0	0	0	0	0
1324677600	24/12/2011	31	5831	0	0	0	0	0	0
1324764000	25/12/2011	14	5845	0	0	0	0	0	0
1324850400	26/12/2011	50	5895	0	0	0	0	0	0
1324936800	27/12/2011	38	5933	0	0	0	0	0	0
1325023200	28/12/2011	26	5959	0	0	0	0	0	0
1325109600	29/12/2011	42	6001	0	0	0	0	0	0
1325196000	30/12/2011	36	6037	0	0	0	0	0	0
1325282400	31/12/2011	18	6055	0	0	0	0	0	0
1325368800	01/01/2012	14	6069	0	0	0	0	0	0
1325455200	02/01/2012	24	6093	0	0	0	0	0	0
1325541600	03/01/2012	22	6115	0	0	0	0	0	0
1325628000	04/01/2012	22	6137	0	0	0	0	0	0
1325714400	05/01/2012	32	6169	0	0	0	0	0	0
1325800800	06/01/2012	33	6202	0	0	0	0	0	0
1325887200	07/01/2012	22	6224	0	0	0	0	0	0
1325973600	08/01/2012	22	6246	0	0	0	0	0	0
1326060000	09/01/2012	18	6264	0	0	0	0	0	0
1326146400	10/01/2012	40	6304	0	0	0	0	0	0
1326232800	11/01/2012	26	6330	0	0	0	0	0	0
1326319200	12/01/2012	27	6357	0	0	0	0	0	0
1326405600	13/01/2012	17	6374	0	0	0	0	0	0
1326492000	14/01/2012	8	6382	0	0	0	0	0	0
1326578400	15/01/2012	26	6408	0	0	0	0	0	0
1326664800	16/01/2012	14	6422	0	0	0	0	0	0
1326751200	17/01/2012	33	6455	0	0	0	0	0	0
1326837600	18/01/2012	22	6477	0	0	0	0	0	0
1326924000	19/01/2012	26	6503	0	0	0	0	0	0
1327010400	20/01/2012	23	6526	0	0	0	0	0	0
1327096800	21/01/2012	103	6629	0	0	0	0	0	0
1327183200	22/01/2012	16	6645	0	0	0	0	0	0
1327269600	23/01/2012	32	6677	0	0	0	0	0	0
1327356000	24/01/2012	65	6742	0	0	0	0	0	0
1327442400	25/01/2012	22	6764	0	0	0	0	0	0
1327528800	26/01/2012	95	6859	0	0	0	0	0	0
1327615200	27/01/2012	67	6926	0	0	0	0	0	0
1327701600	28/01/2012	91	7017	0	0	0	0	0	0
1327788000	29/01/2012	111	7128	0	0	0	0	0	0
1327874400	30/01/2012	73	7201	0	0	0	0	0	0
1327960800	31/01/2012	31	7232	0	0	0	0	0	0
1328047200	01/02/2012	70	7302	0	0	0	0	0	0
1328133600	02/02/2012	24	7326	0	0	0	0	0	0
1328220000	03/02/2012	26	7352	0	0	0	0	0	0
1328306400	04/02/2012	400	7752	0	0	0	0	0	0
1328392800	05/02/2012	58	7810	0	0	0	0	0	0
1328479200	06/02/2012	88	7898	0	0	0	0	0	0
1328565600	07/02/2012	88	7986	0	0	0	0	0	0
1328652000	08/02/2012	131	8117	0	0	0	0	0	0
1328738400	09/02/2012	159	8276	0	0	0	0	0	0
1328824800	10/02/2012	109	8385	0	0	0	0	0	0
1328911200	11/02/2012	68	8453	0	0	0	0	0	0
1328997600	12/02/2012	44	8497	0	0	0	0	0	0
1329084000	13/02/2012	38	8535	0	0	0	0	0	0
1329170400	14/02/2012	57	8592	0	0	0	0	0	0
1329256800	15/02/2012	57	8649	0	0	0	0	0	0
1329343200	16/02/2012	55	8704	0	0	0	0	0	0
1329429600	17/02/2012	44	8748	0	0	0	0	0	0
1329516000	18/02/2012	22	8770	0	0	0	0	0	0
1329602400	19/02/2012	28	8798	0	0	0	0	0	0
1329688800	20/02/2012	40	8838	0	0	0	0	0	0
1329775200	21/02/2012	129	8967	0	0	0	0	0	0
1329861600	22/02/2012	110	9077	0	0	0	0	0	0
1329948000	23/02/2012	117	9194	0	0	0	0	0	0
1330034400	24/02/2012	97	9291	0	0	0	0	0	0
1330120800	25/02/2012	118	9409	0	0	0	0	0	0
1330207200	26/02/2012	68	9477	0	0	0	0	0	0
1330293600	27/02/2012	145	9622	0	0	0	0	0	0
1330380000	28/02/2012	96	9718	0	0	0	0	0	0
1330466400	29/02/2012	34	9752	0	0	0	0	0	0
1330552800	01/03/2012	73	9825	0	0	0	0	0	0
1330639200	02/03/2012	72	9897	0	0	0	0	0	0
1330725600	03/03/2012	103	10000	0	0	0	0	0	0
1330812000	04/03/2012	76	10076	0	0	0	0	0	0
1330898400	05/03/2012	24	10100	0	0	0	0	0	0
1330984800	06/03/2012	52	10152	0	0	0	0	0	0
1331071200	07/03/2012	95	10247	0	0	0	0	0	0
1331157600	08/03/2012	39	10286	0	0	0	0	0	0
1331244000	09/03/2012	102	10388	0	0	0	0	0	0
1331330400	10/03/2012	109	10497	0	0	0	0	0	0
1331416800	11/03/2012	159	10656	0	0	0	0	0	0
1331503200	12/03/2012	168	10824	0	0	0	0	0	0
1331589600	13/03/2012	121	10945	0	0	0	0	0	0
1331676000	14/03/2012	120	11065	0	0	0	0	0	0
1331762400	15/03/2012	72	11137	0	0	0	0	0	0
1331848800	16/03/2012	32	11169	0	0	0	0	0	0
1331935200	17/03/2012	40	11209	0	0	0	0	0	0
1332021600	18/03/2012	47	11256	0	0	0	0	0	0
1332108000	19/03/2012	104	11360	0	0	0	0	0	0
1332194400	20/03/2012	69	11429	0	0	0	0	0	0
1332280800	21/03/2012	84	11513	0	0	0	0	0	0
1332367200	22/03/2012	98	11611	0	0	0	0	0	0
1332453600	23/03/2012	55	11666	0	0	0	0	0	0
1332540000	24/03/2012	54	11720	0	0	0	0	0	0
1332626400	25/03/2012	56	11776	0	0	0	0	0	0
1332709200	26/03/2012	63	11839	0	0	0	0	0	0
1332795600	27/03/2012	61	11900	0	0	0	0	0	0
1332882000	28/03/2012	34	11934	0	0	0	0	0	0
1332968400	29/03/2012	45	11979	0	0	0	0	0	0
1333054800	30/03/2012	65	12044	0	0	0	0	0	0
1333141200	31/03/2012	62	12106	0	0	0	0	0	0
1333227600	01/04/2012	81	12187	0	0	0	0	0	0
1333314000	02/04/2012	123	12310	0	0	0	0	0	0
1333400400	03/04/2012	67	12377	0	0	0	0	0	0
1333486800	04/04/2012	134	12511	0	0	0	0	0	0
1333573200	05/04/2012	77	12588	0	0	0	0	0	0
1333659600	06/04/2012	48	12636	0	0	0	0	0	0
1333746000	07/04/2012	182	12818	0	0	0	0	0	0
1333832400	08/04/2012	77	12895	0	0	0	0	0	0
1333918800	09/04/2012	259	13154	0	0	0	0	0	0
1334005200	10/04/2012	130	13284	0	0	0	0	0	0
1334091600	11/04/2012	47	13331	0	0	0	0	0	0
1334178000	12/04/2012	23	13354	0	0	0	0	0	0
1334264400	13/04/2012	17	13371	0	0	0	0	0	0
1334350800	14/04/2012	24	13395	0	0	0	0	0	0
1334437200	15/04/2012	24	13419	0	0	0	0	0	0
1334523600	16/04/2012	76	13495	0	0	0	0	0	0
1334610000	17/04/2012	38	13533	0	0	0	0	0	0
1334696400	18/04/2012	36	13569	0	0	0	0	0	0
1334782800	19/04/2012	27	13596	0	0	0	0	0	0
1334869200	20/04/2012	59	13655	0	0	0	0	0	0
1334955600	21/04/2012	27	13682	0	0	0	0	0	0
1335042000	22/04/2012	26	13708	0	0	0	0	0	0
1335128400	23/04/2012	70	13778	0	0	0	0	0	0
1335214800	24/04/2012	38	13816	0	0	0	0	0	0
1335301200	25/04/2012	75	13891	0	0	0	0	0	0
1335387600	26/04/2012	73	13964	0	0	0	0	0	0
1335474000	27/04/2012	32	13996	0	0	0	0	0	0
1335560400	28/04/2012	37	14033	0	0	0	0	0	0
1335646800	29/04/2012	32	14065	0	0	0	0	0	0
1335733200	30/04/2012	18	14083	0	0	0	0	0	0
1335819600	01/05/2012	48	14131	0	0	0	0	0	0
1335906000	02/05/2012	34	14165	0	0	0	0	0	0
1335992400	03/05/2012	32	14197	0	0	0	0	0	0
